,categories,published_year,average_rating,num_pages,ratings_count,tipo_avaliacao
448,63,2007,4.37,144,5359.0,acima da média
449,30,2006,4.27,323,250.0,acima da média
450,58,2007,4.61,746,873.0,acima da média
451,36,2007,4.06,336,470.0,acima da média
452,52,1965,4.13,208,1970.0,acima da média
463,63,1993,4.07,118,2432.0,acima da média
464,36,1991,4.07,416,8383.0,acima da média
465,8,1993,4.15,304,4795.0,acima da média
466,58,1994,4.22,96,148.0,acima da média
467,30,1995,3.65,272,878.0,abaixo da média
468,30,1996,3.31,212,696.0,abaixo da média
469,35,2001,4.12,221,65.0,acima da média
470,58,1984,4.21,246,4985.0,acima da média
471,57,1991,4.1,768,64.0,acima da média
472,5,1979,3.73,416,41.0,abaixo da média
473,40,1993,4.07,144,20496.0,acima da média
474,40,1993,4.17,192,7661.0,acima da média
476,49,1985,3.96,118,179.0,acima da média
477,40,1986,3.83,192,2117.0,abaixo da média
478,40,1988,3.76,288,3231.0,abaixo da média
479,40,1990,3.6,288,423.0,abaixo da média
480,40,1991,3.52,272,631.0,abaixo da média
481,40,1992,3.75,208,202.0,abaixo da média
482,40,1995,3.67,352,1806.0,abaixo da média
483,40,1996,4.31,260,4054.0,acima da média
484,40,1996,4.13,321,4689.0,acima da média
485,40,1995,4.31,336,4411.0,acima da média
486,40,1995,4.17,320,4744.0,acima da média
487,40,1995,3.64,192,1481.0,abaixo da média
488,40,1995,3.86,208,10655.0,abaixo da média
489,40,1995,3.61,144,259.0,abaixo da média
490,40,1995,3.41,256,63.0,abaixo da média
491,40,1996,3.72,128,35319.0,abaixo da média
492,40,1997,4.13,32,400.0,acima da média
493,40,2001,4.14,321,1438.0,acima da média
494,40,2001,3.71,281,53833.0,abaixo da média
495,40,2000,4.23,304,2637.0,acima da média
496,40,2000,4.07,252,61304.0,acima da média
497,40,2002,3.53,144,122.0,abaixo da média
498,40,2004,4.04,176,4631.0,acima da média
499,40,2001,4.3,329,148957.0,acima da média
500,40,2001,3.52,224,110.0,abaixo da média
501,40,2001,4.16,184,1229902.0,acima da média
502,40,1998,3.99,80,70.0,acima da média
503,40,1998,4.22,80,63.0,acima da média
504,40,1995,4.28,32,1487.0,acima da média
505,40,1997,4.19,32,2062.0,acima da média
506,40,1998,4.13,40,444.0,acima da média
507,40,1999,4.17,32,302.0,acima da média
508,40,1999,4.19,32,1533.0,acima da média
509,40,1984,3.8,64,206.0,abaixo da média
510,40,1986,3.75,64,187.0,abaixo da média
511,40,1994,3.66,48,107.0,abaixo da média
512,41,1998,4.05,64,56.0,acima da média
513,41,2000,4.15,32,414.0,acima da média
514,40,1998,3.9,345,10368.0,abaixo da média
515,40,2003,3.74,398,58422.0,abaixo da média
516,70,2002,3.99,464,3419.0,acima da média
517,41,2001,4.34,176,590.0,acima da média
518,30,2001,4.26,767,425445.0,acima da média
519,39,2002,3.46,176,434.0,abaixo da média
520,48,1998,4.39,112,1160.0,acima da média
521,30,1980,3.86,210,300.0,abaixo da média
522,10,1999,3.42,242,0.0,abaixo da média
523,10,2002,4.01,240,36535.0,acima da média
524,25,2003,3.78,345,15488.0,abaixo da média
525,31,2003,3.84,228,292.0,abaixo da média
526,8,2004,3.65,384,574.0,abaixo da média
527,31,2005,4.0,252,9.0,acima da média
529,15,2003,3.68,507,44.0,abaixo da média
530,66,2005,3.77,664,112.0,abaixo da média
531,49,2006,4.16,901,182.0,acima da média
532,36,1964,4.29,773,267.0,acima da média
533,41,1983,4.39,166,49.0,acima da média
534,63,2002,3.78,96,288074.0,abaixo da média
535,63,2004,3.63,232,1508.0,abaixo da média
536,8,2004,3.0,352,1.0,abaixo da média
537,49,2006,3.94,344,3481.0,acima da média
538,30,1992,4.06,515,700.0,acima da média
539,49,1992,4.28,350,1700.0,acima da média
540,30,1998,3.72,219,23529.0,abaixo da média
541,30,2002,3.89,752,27476.0,abaixo da média
542,49,1999,3.87,156,1469.0,abaixo da média
543,49,1999,3.87,336,514.0,abaixo da média
544,49,1998,4.03,479,4856.0,acima da média
545,2,2000,3.92,289,49342.0,acima da média
546,2,2000,3.72,295,7849.0,abaixo da média
547,49,2000,3.92,237,131.0,acima da média
548,49,2000,3.83,342,6675.0,abaixo da média
549,3,2001,3.7,567,551.0,abaixo da média
550,49,2004,3.97,480,82.0,acima da média
551,49,2001,3.96,401,70.0,acima da média
552,49,2000,3.75,564,67365.0,abaixo da média
553,49,1994,3.77,400,3013.0,abaixo da média
554,30,1993,3.99,467,824.0,acima da média
555,49,1995,3.65,272,1950.0,abaixo da média
556,49,2000,3.56,255,12696.0,abaixo da média
557,60,2002,4.0,320,6765.0,acima da média
558,49,2002,3.95,605,7590.0,acima da média
559,49,2002,3.29,272,6551.0,abaixo da média
560,49,2002,3.39,298,34.0,abaixo da média
561,49,2002,3.69,293,1457.0,abaixo da média
562,49,2002,3.62,156,5683.0,abaixo da média
563,1,2001,4.15,144,48723.0,acima da média
564,49,2002,3.71,160,1212.0,abaixo da média
565,49,2001,3.85,229,106.0,abaixo da média
566,30,2001,3.98,255,158037.0,acima da média
567,49,2002,3.82,275,7348.0,abaixo da média
568,49,2002,3.89,372,4537.0,abaixo da média
569,49,1968,4.22,32,2152.0,acima da média
570,49,2002,3.59,384,143.0,abaixo da média
571,49,2003,3.75,240,2653.0,abaixo da média
572,49,2002,4.02,144,9594.0,acima da média
573,49,2003,3.86,774,26145.0,abaixo da média
574,49,2003,3.6,165,628.0,abaixo da média
575,49,2002,3.82,229,73452.0,abaixo da média
576,49,2003,3.87,190,56172.0,abaixo da média
577,49,2003,3.86,327,1233.0,abaixo da média
578,49,2003,4.04,393,47494.0,acima da média
579,49,2002,4.26,304,390.0,acima da média
580,65,2003,4.11,124,1063.0,acima da média
581,64,2003,4.27,181,9697.0,acima da média
582,49,2004,4.24,631,1718.0,acima da média
583,49,2005,3.98,325,2733.0,acima da média
584,49,2006,3.63,793,3388.0,abaixo da média
585,37,2004,3.72,400,18646.0,abaixo da média
586,49,2003,3.9,309,10003.0,abaixo da média
587,49,2003,3.7,314,61.0,abaixo da média
588,49,2004,3.5,384,1241.0,abaixo da média
589,49,2004,3.47,229,30096.0,abaixo da média
590,30,2004,4.15,649,2022.0,acima da média
591,49,2004,3.83,480,36906.0,abaixo da média
592,49,2004,3.85,883,48445.0,abaixo da média
593,49,2005,3.97,480,7028.0,acima da média
594,49,2004,4.0,314,239.0,acima da média
595,49,2005,4.0,268,5332.0,acima da média
596,30,2005,3.68,272,8899.0,abaixo da média
597,30,2005,3.87,267,5706.0,abaixo da média
598,49,2004,3.91,320,79.0,acima da média
599,49,2005,3.85,303,4332.0,abaixo da média
